Thai,English
แยกทางหลวงหมายเลข 21 (กม.ที่ 156+200) - บ้านวังปลา,Highway 21 (km 156+200) - Ban Wang Pla
ถนนศรีนครินทร - แขวงคลองสองต้นนุ่น,Srinakharin Road - Khlong Song Ton Nun Subdistrict
บ้านสวน - หนองรี,Ban Suan - Nong Ri
แยกทางหลวงหมายเลข 1045 (กม.ที่ 14+200) - บ้านห้วยปลาดุก,Highway 1045 (Km 14+200) - Ban Huai Pla Duk
สนามชัย - เจริญศิลป์,Sanam Chai -Charoen Sin
บ้านค่าย - ระยอง,Ban Khai - Rayong
แม่ต๋ำน้อย - ทุ่งงิ้ว,Mae Tam Noi - Thung Ngio
สักหลง - วังมล,Sak Long - Wang Mont
แยกทางหลวงหมายเลข 2 (กม.ที่ 90+ 050) - บ้านไชยวาน,Highway 2 (km 90+ 050) - Ban Chai Wan
แยกทางหลวงหมายเลข 317 (กม.ที่ 21+350) - น้ำตกอ่างเบง,Highway intersection number 317 (km 21+350) - Beng Beng Waterfall
แยกทางหลวงหมายเลข 103 (กม.ที่ 22+080) - บ้านสวนหลวง (ต้นทาง),Highway intersection number 103 (km 22+080) - Ban Suan Luang (origin)
ดอนยาง - บ้านดี,Don Yang - Ban Dee
ถนนวงแหวนรอบเมืองขอนแก่นด้านทิศตะวันออก,Ring Road around Khon Kaen city on the east side
วังโป่ง - ด่านแม่คำมัน,Wang Pong - Dan Mae Kham Man
แยกทางหลวงหมายเลข 33 (กม.ที่ 58+600) - บ้านปากแรด,Highway 33 (km 58+600) - Ban Pak Rhod
บุรีรัมย์ - บ้านพลวง,Buriram - Ban Phluang
เนินผาสุข - มาบเอียง,Hill Phasuk - Map is biased.
สลกบาตร - ทุ่งสนุ่น,Sok Bat - Thung Sonun
แยกทางหลวงหมายเลข 9 (กม.ที่ 31+100) - แยกทางหลวงชนบท นฐ.3004 (กม.ที่ 26+700),"Highway 9 (Km. 31+100) - Rural Road Intersection, Nor. 3004 (Km. 26+700)"
สี่แยกสมเด็จ - คำพอก,Somdet -Kham Phok intersection
แยกดงแหลม - ลำพันชาด,Dong Laem - Lam Phan Chad
ประโคนชัย - จรอกใหญ่,Prakhonchai - Yai Yai
ศรีวิชา - กวนบุ่น,Srivicha -Guan Bun
ท่าจักร - อุโมงค์,Tha Chak -tunnel
สี่แยกสมเด็จ - แยกดงแหลม,Somdet -Dong Laem Intersection
ปราสาท - ช่องจอม,Castle - Chong Chom
แยกทางหลวงหมายเลข 2440 (กม.ที่ 38+300) - บ้านหลักด่าน,Highway 2440 (Km 38+300) - Ban Lak Dan
แยกทางหลวงหมายเลข 375 (กม.ที่ 17+000) - บ้านหนองนกไข่,Highway intersection number 375 (km 17+000) - Ban Nong Nok Khai
มหาวิทยาลัยเกษตรศาสตร์ - คันนายาว,Kasetsart University - Khan Na Yao
พุทธมณฑลสาย 4 - นครชัยศรี,Phutthamonthon Sai 4 - Nakhon Chai Si
จอมพระ - สะพานบุรีรินทร์,Chom Phra - Buri Bridge
หนองแวง - ท่ากกแดง,Nong Waeng - Tha Kok Daeng
แยกแม่กรณ์ - ห้วยพลู,Mae Kon Junction - Huai Phlu
เทศบาลเมืองสมุทรสงคราม - ท่าน้ำสมุทรสงคราม,Samut Songkhram Municipality - Samut Songkhram
นากระแซง - บ้านดวน,Naga Samong - Ban Duan
คลองหลวงแพ่ง - ศาลาแดง,Khlong Luang Civil - Saladaeng
แยกทางหลวงหมายเลข 4 (กม.ที่ 178+950) - เทศบาลเมือง,Highway 4 (km at 178+950) - Municipality
แยกทางหลวงหมายเลข 21 (กม.ที่ 19+050) - บ้านน้ำซับ,Highway 21 (km 19+050) - Ban Nam Sap
ท่าเรือ - หินโงก,Port - Hin Lok
ไสยวน  - ควนขนุน,Saiyuan - Khuan Khanun
มัญจาคีรี - ห้วยสามหมอ,Manja Kiri - Huai Sam Mor
ดอนไชย - หอรบ,Don Chai -Hob
แยกที่ดิน - ไชโย,Land junction - Chaiyo
ตรัง - กันตัง,Trang - Kantang
แยกทางหลวงหมายเลข 113 (กม.ที่ 11+000) - บ้านหนองพยอม,Highway 113 (Km. 11+000) - Ban Nong Phayom
คลองท่อม - นาวง,Khlong Thom -Nawong
สามแยกบางสะพาน - ชายทะเล,Bang Saphan -Chang Intersection
หนองคาย - ด่านพรมแดนสะพานมิตรภาพไทย/ลาว,"Nong Khai - Border Dan Bridge, Thai/Laos Bridge"
ท่าน้ำตื้น - หนองสามพราน,Shallow - Nong Sam Phran
แยกทางหลวงชนบท พร.3017(กม.ที่5+600)- ทางหลวงชนบท พร.3033(กม.ที่18+550),"Rural Road Intersection Por. 3017 (km 5+600)- Rural Road, Por. 3033 (Km. 18+550)"
โคคลาน - ใหม่ไทยถาวร,Copa crawl - Mai Thai Thaworn
จุดเชื่อมต่อถนนวงแหวนอุตสาหกรรมเข้าสะพานภูมิพลที่ 2,Industrial ring connection point to Bhumibol Bridge 2
บ้านวัด - ตาลาด,Ban Wat - Tadad
ถนนราชพฤกษ์เชียงใหม่,"Ratchapruek Road, Chiang Mai"
แม่สาย - กิ่วกาญน์,Mae Sai -Kio Kan
โคกมะเมียน - ดงมัน,Khok Ma Mian - Dong Man
ตระการพืชผล - ห้วยยาง,Trakan Phuephon - Huai Yang
แยกทางหลวงหมายเลข 12 (กม.ที่ 655+170) - บ้านค่ายลูกเสือ,Highway 12 (km 655+170) - Ban Khai Boy Scout
ภูมิซรอล  - สำโรงเกียรติ,Phum Salol - Samrongkiat
ดอนไชย - ห้วยหญ้าไทร,Don Chai - Huai Ya Sai
ด่านดู่ - โคกงาม,Du -Ko Kam
แยกทางหลวงหมายเลข 1022 (กม.ที่ 25+500) - บ้านกลาง,Highway intersection number 1022 (km 25+500) - Ban Klang
นราธิวาส - สะปอม,Narathiwat -Sapom
พิมพา - หนองข้างคอก,Pimpa - Nong Nai Khok
ห้วยศาลา - หนองหญ้าปล้อง,Huai Sala - Nong Ya Plong
หนองพิกุล - ใหม่สามัคคี,Nong Phikun - Mai Samakkhi
แยกทางหลวงหมายเลข 305 (กม.ที่ 37+585) - บ้านโพธิ์แทน,Highway 305 (km 37+585) - Ban Pho Tan
ดอนจั่น - เชียงใหม่,Don Chan - Chiang Mai
ปัตตานี - ยะลา,Pattani -Yala
ช่องตะโก - น้อยสะแกกวน,Tako -Noi Sakae
ดอยนางแก้ว - แม่สรวย,Doi Nang Kaew - Mae Suai
บ้านแก่ง - น้ำอ่าง,Ban Kaeng - Nam Ang
ท่างาม - โป่งแค,Tha Ngam -Pong Khae
ท่าควาย - กลางน้อย,Buffalo -middle
ทองผาภูมิ - เจดีย์สามองค์,Thong Pha Phum - Three Pagoda
แยกนพวงศ์ - บางเลน,Noppawong -Bang Len intersection
บ้านย่อ - บ้านสวน,Ban Spak - Ban Suan
แยกนาแหลม - หนองห้า,Na Laem -Nong Five Intersection
แยกทางหลวงหมายเลข 222 (กม.ที่ 16+250)-บ้านเจริญศิลป์,Highway 222 (Km 16+250)-Ban Charoen Sin
แม่คำ - กลางสะพานแม่น้ำสาย(เขตแดนไทย/พม่า),Mae Kham - in the middle of the river bridge (Thai/Burma)
แยกทางหลวงหมายเลข 227 (กม.ที่ 36+425) - บ้านโป่งเชือก,Highway 227 (km 36+425) - Ban Pong Rue
เขาคันทรง - เขาน้อย,He's a bow - Khao Noi
แยกทางหลวงหมายเลข 21 (กม.ที่ 15+150) - บ้านใหม่โพธิ์ทอง,Highway 21 (km 15+150) - Ban Mai Pho Thong
ชุมแพ - ห้วยสายหนัง,Chum Phae - Huai Sai Movie
ห้วยไผ่ - ห้วยช้าง,Huai Phai - Huai Chang
ปางหก - จุดผ่านแดนถาวรห้วยโก๋น/น้ำเงิน (เขตแดนไทย/ลาว),Pang Six - Permanent Dance Point Huai Kon/Blue (Thai/Laos border)
เบตง - บ้าน กม.17,Betong - Ban Km. 17
บ้านหว้า - ภาชี,Ban Wa -Phachi
สุคิริน - กรือซอ,Sukirin -Kruese
แยกทางหลวงหมายเลข 4 (กม.ที่ 137+000) - บ้านจะโปรง,Highway 4 (km at 137+000) - Ban Changprong
สำเภาทอง -  สันติสุข,Samphao Thong -Santisuk
หนองชาก - เนินโมก,Nong Chak - Noen Mok
บ้านตาล - เขาธง,Ban Tan - Khao Thong
แยกทางหลวงหมายเลข 1 (กม.ที่ 200+750) - บ้านเพนียด,Highway 1 (km at 200+750) - Ban Pheng
แยกทางหลวงหมายเลข 322 (กม.ที่ 14+700) - บ้านหนองแต้,Highway 322 (Km 14+700) - Ban Nong Tae
หนองเสม็ด - บ่อทอง,Nong Samet - Bo Thong
แยกทางหลวงหมายเลข 1021 (กม.ที่ 70+900) - บ้านใหม่,Highway intersection number 1021 (Km. 70+900) - New House
แยกทางหลวงหมายเลข 103 (กม.ที่ 18+900) - บ้านฝายแม่ยม,Intersection Highway 103 (Km 18+900) - Ban Fai Mae Yom
บางวัว - บางปะกง,Bang Wua - Bang Pakong
หนองตะแครง - ลูกแก,Nong Tae Cran -child
โคกสำโรง - หนองม่วง,Khok Samrong - Nong Muang
กาญจนบุรี - หนองขาว,Kanchanaburi - Nong Khao
วัดพระศรีรัตนมหาธาตุ - บ้านกล้วย,Wat Phra Si Rattana Mahathat - Ban Kluai
สวนดอกคำ - ม่วงงาม,Dok Kham - Muang Ngam Suan
สวรรคโลก - ป่ากล้วย,Sawankhalok - Banana Forest
แยกทางหลวงหมายเลข 1251 (กม.ที่ 16+800) - บ้านบุญเรือง,Highway 1251 (Km 16+800) - Ban Bun Rueang
ขุนยวม - ปางอุ๋ง,Khun Yuam -Pang Ung
แยกทางหลวงหมายเลข 3 (กม.ที่ 302+100) - บ้านสนามไชย,Highway 3 (Km. 302+100) - Sanam Chai Baan
แยกทางหลวงหมายเลข 7 (กม.ที่ 103+200) - บ้านปากร่วม,Highway intersection number 7 (Km. 103+200) - Ban Pak Ruam
พรหมคีรี - นบพิตำ,Phrom Khiri -Noppit
แม่ทา - ท่าจักร,Mae Tha - Tha Chak
โกตาบารู - บือเล็งใต้,Kota Baru - Bue South
แบหอ - รือเสาะ,Bae -Rueso
ป่าพ้อ - ท่าสาป,Pa Po -Tha Curs
